soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,IoU,Energy per inference,Spike Rate,TP,TN,FP,FN,Precision,Recall
True,False,2,10,0.2043976585109097,2.8868157642136794e-07,0.07276642322540283,1541.155,15369.508333333333,4055.37,1523.9666666666667,nan,0.4990677769087364
True,False,2,20,0.2869053901268247,2.2559093793006468e-07,0.05686350166797638,1697.3666666666666,16861.183333333334,2563.695,1367.755,0.39654228041738093,0.5513143395481257
True,False,2,40,0.41418834372772834,3.6554365578922443e-07,0.09214063733816147,2063.3683333333333,17593.706666666665,1831.1716666666666,1001.7533333333333,0.5250676239387725,0.6787467249110055
True,False,2,80,0.5886601186046998,4.7570097194693517e-07,0.11990740150213242,2517.49,18245.523333333334,1179.355,547.6316666666667,0.6753056433718218,0.8254159609326709
True,False,2,100,0.6433772140741348,4.849907782045193e-07,0.12224902957677841,2570.8083333333334,18505.358333333334,919.52,494.31333333333333,0.7325989409577762,0.843455366532734
True,False,4,10,0.31845973327135046,7.040960099402582e-07,0.17747771739959717,1795.285,16999.265,2425.6133333333332,1269.8366666666666,0.4240016663854527,0.5862573623583786
True,False,4,20,0.48506620988249777,3.969726094510406e-07,0.10006275773048401,2237.266666666667,17940.101666666666,1484.7766666666666,827.855,0.5954622479507837,0.7341918302449547
True,False,4,40,0.6260382554059227,5.626052939078363e-07,0.14181290566921234,2252.6033333333335,18892.961666666666,531.9166666666666,812.5183333333333,0.804866993939283,0.7401224168215172
True,False,4,80,0.7529829185207685,4.4576992763722956e-07,0.11236283928155899,2742.2633333333333,18845.948333333334,578.93,322.85833333333335,0.8238122832164365,0.8977141583917991
True,False,4,100,0.7617089532812437,5.479681703945971e-07,0.13812340795993805,2792.7083333333335,18821.375,603.5033333333333,272.41333333333336,0.8205171743850799,0.9143497940013329
True,False,8,10,0.4847420204306642,9.168277870230668e-07,0.23109987378120422,2101.4266666666667,18208.625,1216.2533333333333,963.695,0.6280169004724452,0.6899460502469852
True,False,8,20,0.6512730389336745,4.167344798133854e-07,0.10504403710365295,2691.2183333333332,18377.286666666667,1047.5916666666667,373.9033333333333,0.7151512299267276,0.8802902201678432
True,False,8,40,0.7741113352278869,7.462399480573367e-07,0.18810071051120758,2720.9766666666665,18969.125,455.75333333333333,344.145,0.855550488700527,0.8907942218708393
True,False,8,80,0.8148199040691058,6.557298206644191e-07,0.16528631746768951,2771.9083333333333,19082.43666666667,342.44166666666666,293.2133333333333,0.8902665617749261,0.9056788666673744
True,False,8,100,0.81521542151769,1.5698607285230537e-06,0.3957063853740692,2772.3783333333336,19083.208333333332,341.67,292.74333333333334,0.8904102537140125,0.906079351559561
