soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,TP,FP,FN,TN,Energy per inference,Spike Rate
True,False,4,10,0.33,0.67,0.5,0.33,3.759627276167521e-09,0.0019348246278241277
True,False,4,40,0.67,1.0,0.17,1.8548182989519546e-09,0.0009545488865114748
