soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,50,False,0.15,False,54.33,68.47,77.56,1.0995759858190013e-08,0.18075111508369446
True,False,2,50,False,0.15,True,55.94,72.21,75.54,7.298361026641942e-09,0.1199723333120346
True,False,2,100,False,0.15,False,72.68,78.48,91.11,3.827478778362092e-08,0.6291707754135132
True,False,2,100,False,0.15,True,79.48,88.01,89.51,1.6966797744544238e-08,0.27890458703041077
True,False,4,50,False,0.15,False,72.25,78.87,90.39,2.2523535037066722e-08,0.37024766206741333
True,False,4,50,False,0.15,True,83.07,90.83,90.98,4.589259461340589e-08,0.7543942332267761
True,False,4,100,False,0.15,False,80.01,85.5,92.83,4.6989018898102586e-08,0.7724175453186035
True,False,4,100,False,0.15,True,87.5,91.59,95.26,8.746970792117281e-08,1.437849521636963
True,False,8,50,False,0.15,False,84.88,90.08,93.73,1.0500664870960463e-07,1.7261263132095337
True,False,8,50,False,0.15,True,85.77,92.39,92.62,9.588401894689014e-08,1.5761661529541016
True,False,8,100,False,0.15,False,87.55,92.12,94.86,2.3183557118500175e-07,3.8109726905822754
True,False,8,100,False,0.15,True,88.7,94.69,93.45,2.0873085304629058e-07,3.431171417236328
