soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,4,100,False,0.15,False,80.82,85.59,93.77,4.4356191608585505e-08,0.7291384339332581
True,False,4,100,False,0.15,True,88.16,94.48,93.12,8.873669798958872e-08,1.4586765766143799
True,False,8,100,False,0.15,False,86.51,92.68,93.28,2.1564370911164588e-07,3.544806480407715
True,False,8,100,False,0.15,True,87.39,92.14,94.72,2.5091719635383924e-07,4.124640941619873
