soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,1,40,False,0.15,False,58.64,66.75,85.21,1.533973659206822e-08,0.252158522605896
True,False,1,40,False,0.15,True,67.45,75.72,87.73,1.2940144955564392e-08,0.21271342039108276
True,False,1,80,False,0.15,False,70.31,76.93,90.46,2.6553685472663346e-08,0.4364962875843048
True,False,1,80,False,0.15,True,80.45,89.78,88.96,2.1566739505374244e-08,0.3545195758342743
True,False,2,40,False,0.15,False,68.6,76.12,88.58,1.9308487253510975e-08,0.3173978626728058
True,False,2,40,False,0.15,True,82.14,90.18,90.48,2.690559774976009e-08,0.4422810971736908
True,False,2,80,False,0.15,False,71.4,77.4,91.7,2.7269333457979883e-08,0.4482603073120117
True,False,2,80,False,0.15,True,85.11,92.57,91.83,5.101674460661343e-08,0.8386263251304626
True,False,3,40,False,0.15,False,71.37,77.76,91.07,3.389649450014076e-08,0.557199239730835
True,False,3,40,False,0.15,True,83.77,92.68,90.09,4.398748387757223e-08,0.7230775356292725
True,False,3,80,False,0.15,False,73.2,77.57,94.08,4.2458456306349035e-08,0.6979430317878723
True,False,3,80,False,0.15,True,86.64,93.0,92.93,8.37875546721989e-08,1.3773213624954224
True,False,4,40,False,0.15,False,74.39,80.28,92.16,3.480898413954492e-08,0.5721989870071411
True,False,4,40,False,0.15,True,86.64,93.68,92.18,7.103830057531013e-08,1.16774582862854
True,False,4,80,False,0.15,False,77.11,82.21,93.3,6.610795111328116e-08,1.0866994857788086
True,False,4,80,False,0.15,True,88.36,92.9,94.83,1.0310687059700285e-07,1.694897174835205
True,False,5,40,False,0.15,False,72.58,77.78,92.7,4.850646817544657e-08,0.7973617315292358
True,False,5,40,False,0.15,True,86.32,93.16,92.39,1.110437111151441e-07,1.8253649473190308
True,False,5,80,False,0.15,False,81.59,87.92,92.52,6.292037824096042e-08,1.0343012809753418
True,False,5,80,False,0.15,True,88.37,94.28,93.44,1.111927616648245e-07,1.827815055847168
True,False,6,40,False,0.15,False,75.43,81.28,91.98,5.8341395714478494e-08,0.9590308666229248
True,False,6,40,False,0.15,True,86.37,91.96,93.67,9.333106021358617e-08,1.5341999530792236
True,False,6,80,False,0.15,False,87.45,92.96,93.76,1.2907895552416448e-07,2.121833086013794
True,False,6,80,False,0.15,True,88.96,94.25,94.03,2.031424344295374e-07,3.3393075466156006
True,False,7,40,False,0.15,False,84.47,89.54,93.71,1.1197918325933642e-07,1.840742588043213
True,False,7,40,False,0.15,True,87.6,92.84,94.23,1.371704314578892e-07,2.254842758178711
True,False,7,80,False,0.15,False,86.62,92.23,93.65,1.4420412242088787e-07,2.370464324951172
True,False,7,80,False,0.15,True,88.37,94.63,93.09,2.1758525292625563e-07,3.5767221450805664
True,False,8,40,False,0.15,False,81.36,87.9,91.86,8.15023497580114e-08,1.3397564888000488
True,False,8,40,False,0.15,True,87.84,92.6,94.47,1.5376890871721116e-07,2.5276927947998047
True,False,8,80,False,0.15,False,86.82,92.13,94.03,1.833875700185672e-07,3.0145719051361084
True,False,8,80,False,0.15,True,88.16,95.67,91.98,2.0548630175198923e-07,3.3778364658355713
