soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,1,10,False,0.15,False,38.44,46.05,83.11,2.165042189972155e-08,0.35589519143104553
True,False,1,10,False,0.15,True,40.31,49.62,79.63,1.1388850751359314e-08,0.18721285462379456
True,False,2,10,False,0.15,False,52.19,70.39,72.37,1.0319941345926509e-08,0.16964185237884521
True,False,2,10,False,0.15,True,56.65,74.02,75.13,8.373486792834228e-09,0.13764552772045135
True,False,3,10,False,0.15,False,53.68,65.84,79.69,2.7155618198548837e-08,0.4463910162448883
True,False,3,10,False,0.15,True,61.35,73.24,81.56,2.267459819904616e-08,0.37273088097572327
True,False,4,10,False,0.15,False,61.52,68.37,87.53,3.679338078654837e-08,0.6048190593719482
True,False,4,10,False,0.15,True,66.71,79.01,83.2,2.0491890850848904e-08,0.33685097098350525
True,False,5,10,False,0.15,False,64.39,73.74,85.52,3.2511650260858005e-08,0.5344348549842834
True,False,5,10,False,0.15,True,70.83,81.0,86.48,2.740132387657468e-08,0.4504299759864807
True,False,6,10,False,0.15,False,66.07,74.19,87.5,3.1514460374637565e-08,0.518042802810669
True,False,6,10,False,0.15,True,72.84,85.09,85.07,3.0107973003623556e-08,0.49492254853248596
True,False,7,10,False,0.15,False,67.59,76.18,87.09,3.556712613317359e-08,0.5846615433692932
True,False,7,10,False,0.15,True,74.17,86.58,84.48,4.101795170186051e-08,0.674263596534729
True,False,8,10,False,0.15,False,70.11,79.42,86.71,5.057176366562999e-08,0.8313116431236267
True,False,8,10,False,0.15,True,74.01,87.34,83.66,5.310773332212193e-08,0.8729985356330872
