soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,50,False,0.15,False,51.82,63.9,79.68,1.3558782541167602e-08,0.22288274765014648
True,False,2,50,False,0.15,True,55.88,76.75,71.32,6.566916344041829e-09,0.1079486608505249
True,False,2,100,False,0.15,False,69.84,75.62,90.85,2.8651761851961055e-08,0.4709850251674652
True,False,2,100,False,0.15,True,77.63,86.77,88.81,1.2441621066727748e-08,0.20451855659484863
True,False,4,50,False,0.15,False,71.15,77.42,90.27,2.4295969680565577e-08,0.39938339591026306
True,False,4,50,False,0.15,True,76.64,84.26,89.97,1.7347783654031446e-08,0.28516730666160583
True,False,4,100,False,0.15,False,79.67,84.51,93.63,5.1153385527413775e-08,0.8408724665641785
True,False,4,100,False,0.15,True,88.21,93.66,93.79,9.214277696401041e-08,1.5146665573120117
True,False,8,50,False,0.15,False,81.87,89.13,91.23,8.023840081250455e-08,1.3189793825149536
True,False,8,50,False,0.15,True,86.82,92.8,93.49,1.302761631905014e-07,2.1415131092071533
True,False,8,100,False,0.15,False,87.64,92.59,94.51,2.2525831866460067e-07,3.7028539180755615
True,False,8,100,False,0.15,True,88.26,95.18,92.64,2.0955381785370264e-07,3.44469952583313
