soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,5,80,False,0.05,False,37.5,37.5,100.0,4.487619094106776e-07,7.376863479614258
True,False,5,80,False,0.05,True,37.5,37.5,100.0,4.32356870305739e-07,7.1071929931640625
True,False,5,80,False,0.1,False,80.08,90.0,88.93,1.2695882389834878e-07,2.086981773376465
True,False,5,80,False,0.1,True,85.5,93.81,90.82,1.864112704197396e-07,3.0642762184143066
True,False,5,80,False,0.15,False,73.99,86.99,85.02,5.9152668541173625e-08,0.9723667502403259
True,False,5,80,False,0.15,True,83.34,92.9,89.73,9.469166428743847e-08,1.5565658807754517
True,False,8,80,False,0.05,False,37.5,37.5,100.0,7.483428703380923e-07,12.301451683044434
True,False,8,80,False,0.05,True,37.5,37.5,100.0,7.467761520274507e-07,12.275697708129883
True,False,8,80,False,0.1,False,80.41,88.34,91.02,2.3323138975683833e-07,3.8339173793792725
