soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,80,False,0.05,False,67.97,83.53,80.75,8.491776526398098e-08,1.395900011062622
True,False,2,80,False,0.05,True,80.8,88.56,90.73,1.1988430514975335e-07,1.9706889390945435
True,False,2,80,False,0.1,False,61.43,77.08,78.76,5.948401593514063e-08,0.9778135418891907
True,False,2,80,False,0.1,True,75.26,88.68,84.62,4.0128529832372806e-08,0.6596430540084839
True,False,2,80,False,0.15,False,47.65,65.98,68.97,1.7832880061519063e-08,0.2931414544582367
True,False,2,80,False,0.15,True,72.09,85.38,83.79,2.184401104443623e-08,0.35907745361328125
True,False,5,80,False,0.05,False,37.5,37.5,100.0,4.487619094106776e-07,7.376863479614258
True,False,5,80,False,0.05,True,37.5,37.5,100.0,4.32356870305739e-07,7.1071929931640625
True,False,5,80,False,0.1,False,80.08,90.0,88.93,1.2695882389834878e-07,2.086981773376465
True,False,5,80,False,0.1,True,85.5,93.81,90.82,1.864112704197396e-07,3.0642762184143066
True,False,5,80,False,0.15,False,73.99,86.99,85.02,5.9152668541173625e-08,0.9723667502403259
True,False,5,80,False,0.15,True,83.34,92.9,89.73,9.469166428743847e-08,1.5565658807754517
True,False,8,80,False,0.05,False,37.5,37.5,100.0,7.483428703380923e-07,12.301451683044434
