soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,80,False,0.05,False,65.87,77.25,84.79,7.192883089146562e-08,1.1823846101760864
True,False,2,80,False,0.05,True,37.5,37.5,100.0,2.2419159506625874e-07,3.685318946838379
True,False,2,80,False,0.1,False,50.78,60.86,80.4,3.572009177332802e-08,0.5871760249137878
True,False,2,80,False,0.1,True,70.89,82.76,85.59,3.4562365414103624e-08,0.5681450366973877
True,False,2,80,False,0.15,False,48.7,62.45,74.83,1.7527325368860147e-08,0.2881186604499817
True,False,2,80,False,0.15,True,71.0,83.87,84.4,2.1616234135990453e-08,0.35533320903778076
True,False,5,80,False,0.05,False,37.5,37.5,100.0,3.9396789475176774e-07,6.476145267486572
True,False,5,80,False,0.05,True,37.5,37.5,100.0,4.234269113112532e-07,6.960400104522705
True,False,5,80,False,0.1,False,77.42,85.99,89.94,1.0529650040780325e-07,1.7308908700942993
True,False,5,80,False,0.1,True,85.42,92.11,92.63,1.1237342079084556e-07,1.8472230434417725
True,False,5,80,False,0.15,False,71.17,80.71,87.59,4.3382311076811675e-08,0.7131295204162598
True,False,5,80,False,0.15,True,83.5,90.69,91.94,8.595906564323741e-08,1.4130171537399292
True,False,8,80,False,0.05,False,37.5,37.5,100.0,7.741761010038317e-07,12.726104736328125
True,False,8,80,False,0.05,True,37.5,37.5,100.0,7.332571954066225e-07,12.05346965789795
True,False,8,80,False,0.1,False,81.2,92.69,87.75,2.2149785650071863e-07,3.641038417816162
True,False,8,80,False,0.1,True,37.5,37.5,100.0,6.510658749903087e-07,10.702387809753418
True,False,8,80,False,0.15,False,77.51,85.6,90.45,1.1734613281078055e-07,1.9289658069610596
True,False,8,80,False,0.15,True,86.56,93.31,92.69,1.9555993446829234e-07,3.2146644592285156
