soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,80,False,0.05,89.74,94.95,94.16,4.720468638197417e-08,3.102611780166626
True,False,2,80,False,0.1,90.81,97.05,93.58,1.939433857955919e-08,1.27472722530365
