soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,80,False,0.05,False,68.57,83.18,81.28,8.72676864105415e-08,1.4345285892486572
True,False,2,80,False,0.05,True,37.5,37.5,100.0,2.3258580483798141e-07,3.823305130004883
True,False,2,80,False,0.1,False,59.34,78.89,73.15,6.650466133351074e-08,1.0932207107543945
True,False,2,80,False,0.1,True,72.75,86.07,84.07,3.800873926707027e-08,0.6247974038124084
True,False,2,80,False,0.15,False,48.37,61.84,73.53,1.8763177678238208e-08,0.3084339201450348
True,False,2,80,False,0.15,True,70.31,83.9,83.39,2.2364648799566567e-08,0.3676358461380005
True,False,5,80,False,0.05,False,37.5,37.5,100.0,4.0322410654880514e-07,6.62830114364624
True,False,5,80,False,0.05,True,37.5,37.5,100.0,4.392004484543577e-07,7.219689846038818
True,False,5,80,False,0.1,False,79.56,88.24,89.52,1.0589515397896321e-07,1.7407317161560059
True,False,5,80,False,0.1,True,84.57,94.42,89.36,1.4508395906887017e-07,2.384927272796631
True,False,5,80,False,0.15,False,72.03,82.07,87.08,4.345618620504865e-08,0.7143439054489136
True,False,5,80,False,0.15,True,81.11,89.73,90.27,6.539605834632312e-08,1.0749971866607666
True,False,8,80,False,0.05,False,37.5,37.5,100.0,8.071640991147433e-07,13.268370628356934
True,False,8,80,False,0.05,True,37.5,37.5,100.0,8.423411941294034e-07,13.846620559692383
True,False,8,80,False,0.1,False,80.77,89.83,89.89,2.0936322187026235e-07,3.441566228866577
True,False,8,80,False,0.1,True,86.53,93.39,92.42,3.102258290255122e-07,5.099571704864502
True,False,8,80,False,0.15,False,80.24,89.95,88.78,1.5054249047352641e-07,2.474656105041504
True,False,8,80,False,0.15,True,86.24,95.46,90.0,1.7165847054911865e-07,2.821765899658203
