soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,TP,TN,FP,FN,Precision,Recall,Accuracy,Energy per inference,Spike Rate
True,False,4,10,227,189,53,131,81.07,63.41,69.33,1.9757206981552144e-09,0.0
True,False,4,40,278,212,80,30,90.26,77.65,81.67,5.373069100755856e-09,0.0
True,False,4,80,283,233,75,9,96.92,79.05,86.0,1.2771195656569034e-08,0.01
True,False,8,10,261,219,23,97,91.9,72.91,80.0,2.1839760222519544e-08,0.01
True,False,8,40,285,229,73,13,95.64,79.61,85.67,2.9560926151361855e-08,0.02
True,False,8,80,267,235,91,7,97.45,74.58,83.67,4.442359013978603e-08,0.02
