soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,50,False,0.15,False,53.94,70.18,77.1,1.0221153701195362e-08,0.1680179387331009
True,False,2,50,False,0.15,True,55.98,72.11,76.41,5.646592526886707e-09,0.09282013773918152
True,False,2,100,False,0.15,False,81.47,84.37,96.2,3.3827358691951304e-08,0.5560628175735474
True,False,2,100,False,0.15,True,87.5,92.54,94.4,1.6253384416131667e-08,0.2671773135662079
True,False,4,50,False,0.15,False,77.08,83.45,91.99,3.131809833689658e-08,0.5148149132728577
True,False,4,50,False,0.15,True,87.13,92.83,93.68,2.4127414732788566e-08,0.39661264419555664
True,False,4,100,False,0.15,False,87.13,89.33,97.43,6.433782573367353e-08,1.0576016902923584
True,False,4,100,False,0.15,True,90.14,93.53,96.23,5.133416536295954e-08,0.8438441753387451
True,False,8,50,False,0.15,False,89.11,92.77,96.07,1.0074624157141443e-07,1.6560925245285034
True,False,8,50,False,0.15,True,89.71,94.24,95.02,9.477724915996077e-08,1.55797278881073
True,False,8,100,False,0.15,False,89.9,93.59,95.82,1.674980865118414e-07,2.7533764839172363
True,False,8,100,False,0.15,True,91.22,95.38,95.57,1.4982575180511049e-07,2.462873935699463
